Before erosion ID,Initial X,Initial Y,Initial Z,Initial connectivity,Erosion state,Encoded erosion state,3 connectivity,1 connectivity,2 connectivity,4 connectivity,5 connectivity,Norm Initial X,Norm Initial Y,Norm Initial Z,Threshold Z,Norm2 Initial Z,Norm Connectivity,EffectivePassing,CloggingProb
1436,0.314,0.106,0.2377914,2,Not eroded,0,1,0,1,1,1,0.959424567,0.187592319,0.650646661,1,0.021830214,0.285714286,0,0.780870045
1453,0.325,0.101,0.295779,3,Not eroded,0,1,0,0,1,1,1,0.169128508,0.856935284,1,0.599426808,0.428571429,0.202166065,0
1455,0.246,0.256,0.2397569,0,Not eroded,0,1,1,1,1,1,0.708594615,0.741506647,0.657638851,1,0.041407953,0,0.57400722,0
1456,0.0949,0.306,0.3155158,0,ERODED,1,1,1,1,1,1,0.151235706,0.926144756,0.92714818,1,0.796018983,0,0,0.243800129
1457,0.156,0.3,0.2424445,4,Not eroded,0,0,0,0,1,1,0.376613796,0.903988183,0.667199883,1,0.068178308,0.571428571,0,0.000396518
1460,0.155,0.325,0.2918306,2,ERODED,1,1,0,1,1,1,0.37292512,0.996307238,0.842889006,1,0.560098013,0.285714286,0,1.07E-05
1462,0.107,0.264,0.327817,3,Not eroded,0,1,0,0,1,1,0.195868683,0.771048744,0.970909219,1,0.918547441,0.428571429,0.010830325,0
1466,0.0543,0.326,0.3022807,1,Not eroded,0,1,1,1,1,1,0.00147547,1,0.880064828,1,0.664188236,0.142857143,0.068592058,0
1474,0.0548,0.284,0.2401755,0,Not eroded,0,1,1,1,1,1,0.003319808,0.844903988,0.659128004,1,0.045577499,0,0,0.17911189
1476,0.0829,0.0867,0.3332564,0,ERODED,1,1,1,1,1,1,0.106971597,0.116322009,0.990259672,1,0.972727627,0,0,0.137789509
1477,0.236,0.286,0.2377512,0,Not eroded,0,1,1,1,1,1,0.671707857,0.852289513,0.650503651,1,0.021429794,0,0.700361011,0
1478,0.324,0.293,0.2458317,0,Not eroded,0,1,1,1,1,1,0.996311324,0.878138848,0.679249714,1,0.101917162,0,0,0.357457363
1483,0.0587,0.147,0.323767,0,ERODED,1,1,1,1,1,1,0.017705644,0.338995569,0.956501502,1,0.878206641,0,0,0.406617282
1488,0.324,0.156,0.3154733,0,ERODED,1,1,1,1,1,1,0.996311324,0.372230428,0.926996988,1,0.795595654,0,0.068592058,0
1493,0.223,0.305,0.2809943,0,Not eroded,0,1,1,1,1,1,0.623755072,0.922451994,0.804339291,1,0.452160972,0,0,0.003629427
